集計日,key,タイトル,Age,観測遅延日数,観測日数,累計PV,累計スキ,コメント数,スキ率(%),スキ率トレンド(pp),後期14日平均PV,初速PV(7日),ピーク日次PV,ピーク到達日数,ハーフライフ(日),中期平均PV,後期平均PV,持続率,安定性スコア,成長タイプ,質スコア
2026-08-21,ncd243f6ab3c4,ベタベタ・黄ばみ・ヒビ割れ…スマホケースの寿命は“愛用年数”じゃなく科学で決まる！？,345,66,278,172,13,4,7.56,0.9,1.36,,,,,,,,0.464,🌙 スリーパー型,71.1
2026-08-21,neb919b966dce,「Excelでええやん！」って思ってた私が、Python DataFrameに恋した話,321,42,278,257,15,2,5.84,2.14,0.14,,,,,,,,0.648,💤 眠り型,71.0
2026-08-21,nea84bac4c348,"4,000文字と13万文字、明日の朝に同時に出す｜Claude｜AI活用｜予告｜",12,0,14,669,92,23,13.75,-0.32,47.79,642.0,364.0,0.0,3.0,4.5,,,0.338,🎆 バースト型,71.0
2026-08-21,n784c5f13a3d3,募集記事が長すぎ？LPで解決！発掘レイドAI活用 | 生成AI | 画像生成AI |,26,1,27,747,89,18,11.91,-0.83,1.29,201.0,57.0,4.0,1.0,2.8,,,0.343,🎆 バースト型,70.9
2026-08-21,n7ffeda8b13f7,ワイは騙されたのか？耳毛テーマソング爆誕 | AI活用 | 生成AI | Suno |,10,0,12,769,88,63,11.44,-0.57,64.08,736.0,387.0,0.0,3.0,8.2,,,0.344,🎆 バースト型,70.8
2026-08-21,nae521725949f,スタバが多い街は、本当に都会なのか？──“緑の女神”が暴く日本のリアル。,316,37,278,326,25,0,7.67,2.05,0.43,,,,,,,,0.44,💤 眠り型,70.7
2026-08-21,n9345169207bd,恩送りで3人紹介！異色な人選の理由を解説 | 恩送り | 企画 | 紹介 |,11,0,13,804,103,50,12.81,-0.8,61.85,772.0,413.0,0.0,3.0,6.4,,,0.328,🎆 バースト型,70.6
2026-08-21,n5d388b417f12,AIに考えさせ、仕組みでつくる資料作成術 | 生成AI | AI活用術 | 資料作成 | 業務効率化 | パワポ作成 |,7,1,8,686,48,4,7.0,-0.77,33.12,255.0,68.0,4.0,1.0,10.0,,,0.485,❓ データ不足,70.6
2026-08-21,n16646491e4b2,7月の月間ランキング発表｜押し方が数を殴り返した月｜note運用｜振り返り｜生成AI｜画像生成AI｜,18,1,19,762,84,34,11.02,-0.65,2.86,160.0,50.0,2.0,3.0,2.6,,,0.343,🎆 バースト型,70.6
2026-08-21,nbd9c033a6201,ちびキャラ改造プロンプト！壁の落書きで遊んでみた | 生成AI | AI活用 | プロンプト | ちびキャラ | 画像生成 |,24,0,26,1306,143,49,10.95,-0.89,13.36,1061.0,387.0,0.0,4.0,13.6,,,0.337,🎆 バースト型,70.4
2026-08-21,nf81d5e385c35,AIに過去ログを全部読ませて、ワイを「ちびキャラ標本図鑑」にしたら容赦なかった | AI活用 | 画像生成AI | プロンプト |,13,0,15,1301,112,24,8.61,-0.34,57.93,1167.0,490.0,0.0,3.0,19.1,,,0.388,🎆 バースト型,70.4
2026-08-21,n876dd0c9e114,生成AIを「考える相棒」にする──対話型で思考を深める使い方,510,231,278,194,25,18,12.89,6.31,0.29,,,,,,,,0.322,❓ データ不足,70.4
2026-08-21,n6f8b1868b452,形式は整ったのに…中身が地獄！？😱― “可視化の魔法”で暴くデータの裏側 ―,313,34,278,267,15,2,5.62,1.9,0.0,,,,,,,,0.656,❓ データ不足,70.4
2026-08-21,nb3b22defdb49,もうネタ探しで迷わない — 検索・SNS・記事トレンドを横断して「書くべき構成」を導くプロンプト,317,38,278,191,12,0,6.28,3.24,0.64,,,,,,,,0.54,❓ データ不足,70.2
2026-08-21,n311b6eaa3bb7,発掘者は、あんたが掘られたいこと知らんで｜AI活用｜生成AI｜ChatGPT｜CCC発掘隊｜,17,1,18,865,96,34,11.1,-0.77,4.5,185.0,55.0,2.0,3.0,3.2,,,0.329,🎆 バースト型,70.2
2026-08-21,n36f50a94ca4a,【AIアート】青に対する想い？ワイはどす黒くなった・・。,218,3,216,457,57,16,12.47,0.54,0.0,12.0,4.0,6.0,2.0,0.4,0.1,0.058,0.612,🎆 バースト型,70.1
