rank,ranking_type,like_user_id,creator_name,creator_urlname,creator_url,has_profile_url,likes_count,first_like_at,last_like_at,follower_count,generated_at,period_start,period_end
44,monthly,12046208,週間ゆめの｜ゆめの結人,brisk_mole9005,https://note.com/brisk_mole9005,True,14,2026-03-02T07:29:07+09:00,2026-03-24T06:51:57+09:00,960,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
45,monthly,13197010,どうにか息してる,dounika_ikiteru,https://note.com/dounika_ikiteru,True,14,2026-03-01T07:41:24+09:00,2026-03-18T07:33:27+09:00,456,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
46,monthly,12447284,ふな,funa04,https://note.com/funa04,True,13,2026-03-01T10:06:53+09:00,2026-03-30T13:43:12+09:00,342,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
47,monthly,10071829,動きのラフテル@理学療法,proper_swan3597,https://note.com/proper_swan3597,True,13,2026-03-01T08:08:41+09:00,2026-03-30T06:21:42+09:00,1346,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
48,monthly,8386686,夏目 龍頭｜AI Creative Lab,shio_batapopcorn,https://note.com/shio_batapopcorn,True,13,2026-03-02T10:13:21+09:00,2026-03-29T22:13:43+09:00,2878,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
49,monthly,10600360,うかりハチベエ,cute_toad7393,https://note.com/cute_toad7393,True,13,2026-03-02T13:43:27+09:00,2026-03-19T08:06:52+09:00,287,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
50,monthly,11742994,薄紫もと　,fresh_loris1944,https://note.com/fresh_loris1944,True,12,2026-03-01T09:50:19+09:00,2026-03-30T07:24:16+09:00,2836,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
51,monthly,11395794,零ぴちゅ。,reipichu,https://note.com/reipichu,True,12,2026-03-02T08:35:17+09:00,2026-03-29T16:14:23+09:00,2883,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
52,monthly,12038119,金田まり|スタートアップ&起業支援してるワーママ,alive_sheep6563,https://note.com/alive_sheep6563,True,12,2026-03-01T09:56:32+09:00,2026-03-29T07:32:57+09:00,1379,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
53,monthly,9763026,kodra411,kodra411,https://note.com/kodra411,True,12,2026-03-02T08:33:53+09:00,2026-03-26T06:06:12+09:00,1192,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
54,monthly,11861558,秋本マミ,vivid_cougar9852,https://note.com/vivid_cougar9852,True,12,2026-03-09T18:32:05+09:00,2026-03-23T07:25:53+09:00,541,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
55,monthly,13278970,AIちゃん@ゼロから始めるAIイラスト収益化,ai_labo_chan,https://note.com/ai_labo_chan,True,11,2026-03-22T16:04:23+09:00,2026-03-30T16:24:23+09:00,491,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
56,monthly,12983172,masaya,10colorful,https://note.com/10colorful,True,11,2026-03-22T10:05:49+09:00,2026-03-30T06:35:13+09:00,1071,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
57,monthly,12648246,miyuri,miyuriii,https://note.com/miyuriii,True,11,2026-03-10T15:13:01+09:00,2026-03-25T16:51:19+09:00,700,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
58,monthly,11092056,KOU,mamemame_aka,https://note.com/mamemame_aka,True,10,2026-03-01T07:52:38+09:00,2026-03-30T11:30:59+09:00,1724,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
59,monthly,11877381,タク＠HENDRE,alert_clover9324,https://note.com/alert_clover9324,True,10,2026-03-06T21:57:12+09:00,2026-03-30T11:08:15+09:00,972,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
60,monthly,10607522,かっぱの庵,leal_oriole8107,https://note.com/leal_oriole8107,True,10,2026-03-02T11:13:07+09:00,2026-03-30T07:54:38+09:00,179,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
61,monthly,11850733,Mariya,mariya_1225,https://note.com/mariya_1225,True,10,2026-03-03T23:08:34+09:00,2026-03-28T16:05:40+09:00,978,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
62,monthly,11583083,夏目羊,hitsuji_natsume,https://note.com/hitsuji_natsume,True,10,2026-03-01T08:20:26+09:00,2026-03-26T13:26:20+09:00,1166,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
63,monthly,13571773,ぷっぷる,rich_moose3756,https://note.com/rich_moose3756,True,10,2026-03-08T19:31:54+09:00,2026-03-26T06:25:57+09:00,221,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
64,monthly,6112186,生成AIに試行錯誤,ai_shikousakugo,https://note.com/ai_shikousakugo,True,10,2026-03-05T22:56:35+09:00,2026-03-21T21:48:38+09:00,1038,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
65,monthly,1733929,ネココ,syuu1500,https://note.com/syuu1500,True,9,2026-03-02T06:05:17+09:00,2026-03-30T11:43:45+09:00,2503,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
66,monthly,12266312,ハムカツ🐰｜命の燈を灯す人,real_crow6063,https://note.com/real_crow6063,True,9,2026-03-16T11:50:50+09:00,2026-03-28T07:00:22+09:00,443,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
67,monthly,11957013,picko,alpacako,https://note.com/alpacako,True,9,2026-03-03T01:14:26+09:00,2026-03-26T01:10:19+09:00,649,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
