ranking_type,date,like_user_id,creator_name,creator_urlname,score_daily,score_cumulative,period_start,period_end,generated_at
last_week,2026-04-12,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,84,309,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-12,7547534,メイシン,mei_shin,37,161,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-12,12589788,ういろう,tsubakinu,10,152,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-12,2490558,だんだんありがと@めじゅ,dandan_arigato19,5,147,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-12,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,15,120,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-01,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,28,28,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-01,2490558,だんだんありがと@めじゅ,dandan_arigato19,50,50,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-01,7547534,メイシン,mei_shin,7,7,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-01,12235137,ねんころ@AIクリエイター,nenkoro_life,8,8,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-01,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,15,15,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-02,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,14,42,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-02,2490558,だんだんありがと@めじゅ,dandan_arigato19,18,68,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-02,7547534,メイシン,mei_shin,0,7,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-02,12235137,ねんころ@AIクリエイター,nenkoro_life,8,16,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-02,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,8,22,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-03,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,25,67,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-03,2490558,だんだんありがと@めじゅ,dandan_arigato19,16,84,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-03,7547534,メイシン,mei_shin,25,32,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-03,12235137,ねんころ@AIクリエイター,nenkoro_life,128,144,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-03,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,27,50,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-04,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,149,216,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-04,2490558,だんだんありがと@めじゅ,dandan_arigato19,28,112,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-04,7547534,メイシン,mei_shin,30,62,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-04,12235137,ねんころ@AIクリエイター,nenkoro_life,8,152,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-04,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,15,64,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-05,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,39,255,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-05,2490558,だんだんありがと@めじゅ,dandan_arigato19,25,137,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-05,7547534,メイシン,mei_shin,37,99,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-05,12235137,ねんころ@AIクリエイター,nenkoro_life,18,170,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-05,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,12,76,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-06,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,49,304,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-06,2490558,だんだんありがと@めじゅ,dandan_arigato19,20,157,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-06,7547534,メイシン,mei_shin,0,99,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-06,12235137,ねんころ@AIクリエイター,nenkoro_life,8,178,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-06,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,15,92,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-07,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,28,332,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-07,2490558,だんだんありがと@めじゅ,dandan_arigato19,8,165,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-07,7547534,メイシン,mei_shin,84,183,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-07,12235137,ねんころ@AIクリエイター,nenkoro_life,10,188,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-07,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,15,106,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-08,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,67,400,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-08,2490558,だんだんありがと@めじゅ,dandan_arigato19,8,173,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-08,7547534,メイシン,mei_shin,10,193,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-08,12235137,ねんころ@AIクリエイター,nenkoro_life,5,193,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-08,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,15,122,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-09,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,11,411,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-09,2490558,だんだんありがと@めじゅ,dandan_arigato19,18,191,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-09,7547534,メイシン,mei_shin,0,193,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-09,12235137,ねんころ@AIクリエイター,nenkoro_life,8,201,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-09,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,15,136,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-10,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,42,453,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-10,2490558,だんだんありがと@めじゅ,dandan_arigato19,70,261,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-10,7547534,メイシン,mei_shin,30,223,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-10,12235137,ねんころ@AIクリエイター,nenkoro_life,5,206,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-10,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,15,152,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-11,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,28,481,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-11,2490558,だんだんありがと@めじゅ,dandan_arigato19,18,279,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-11,7547534,メイシン,mei_shin,0,223,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-11,12235137,ねんころ@AIクリエイター,nenkoro_life,10,216,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-11,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,30,182,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-12,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,84,565,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-12,2490558,だんだんありがと@めじゅ,dandan_arigato19,5,284,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-12,7547534,メイシン,mei_shin,37,260,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-12,12235137,ねんころ@AIクリエイター,nenkoro_life,65,281,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-12,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,15,196,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-13,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,25,590,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-13,2490558,だんだんありがと@めじゅ,dandan_arigato19,78,362,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
monthly,2026-04-13,7547534,メイシン,mei_shin,0,260,2026-04-01T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
