集計日,key,タイトル,Age,観測遅延日数,観測日数,累計PV,累計スキ,コメント数,スキ率(%),スキ率トレンド(pp),後期14日平均PV,初速PV(7日),ピーク日次PV,ピーク到達日数,ハーフライフ(日),中期平均PV,後期平均PV,持続率,安定性スコア,成長タイプ,質スコア
2026-04-17,n7b682c6fa0fd,他人のキャラを自分の世界に混ぜるのはアリか？を遊びながら試した話｜創作｜AI活用｜生成AI｜画像生成AI｜,23,0,24,651,73,34,11.21,-0.37,2.43,613.0,443.0,0.0,2.0,2.4,,,0.252,🎆 バースト型,67.9
2026-04-17,n8ded3116a32b,ワイ的、プロンプトエンジニアリングのズル技。 ＃220,88,39,50,321,15,7,4.67,-0.08,0.07,,,,,,,,0.729,❓ データ不足,67.8
2026-04-17,n07718b48b033,愛を数値化したら、ちょっと怖くてめちゃくちゃ面白かった｜note運用｜フォロワー｜つながり｜コラム｜,24,0,25,683,79,39,11.57,-0.27,1.29,649.0,507.0,0.0,2.0,2.0,,,0.248,🎆 バースト型,67.8
2026-04-17,n27810521a1ba,2025年自民党総裁選と日本株価 ― 生成AIでシナリオを比較してみた,202,49,152,95,5,0,5.26,0.98,0.07,,,,,,,,0.576,❓ データ不足,67.7
2026-04-17,n13a11e3755f6,【入門】yfinance＋Google Colabで株価取得を5分で！インストール不要の投資ハック,200,47,152,200,10,0,5.0,0.16,0.43,,,,,,,,0.602,💤 眠り型,67.2
2026-04-17,n2048486b8993,メンシプβ版終了と新プラン開始のお知らせ｜note運用｜note収益化｜学び｜試行錯誤｜,15,0,16,436,35,18,8.03,-0.57,4.57,425.0,309.0,0.0,2.0,1.4,,,0.303,🎆 バースト型,67.1
2026-04-17,n00864a9be6ee,光はどこから入るの？「肌」と「目」の仁義なき戦い！〜「最強の光の浴び方」〜,194,41,152,174,8,0,4.6,0.48,0.14,,,,,,,,0.666,❓ データ不足,66.6
2026-04-17,n9a67fecb68b6,【AIアート/イラスト】「黒髪リリック（Black-Haired Lyrics）」─歌詞に宿る“感情の残像”を、黒髪の女性として描くアートシリーズ。,173,20,152,184,13,5,7.07,0.34,0.14,,,,,,,,0.335,❓ データ不足,66.5
2026-04-17,n0b825c8ca1cd,note運営をデータで読むための「仮説メモ」,149,1,147,121,12,0,9.92,-0.73,0.21,26.0,7.0,2.0,3.0,0.6,0.2,0.054,0.485,🎆 バースト型,66.3
2026-04-17,ndf8fd15e2ca0,【AIアート/イラスト】ボツになった、もうひとつの世界,162,9,152,249,20,12,8.03,-3.19,0.07,,,,,,,,0.277,❓ データ不足,66.3
2026-04-17,n6103ab79ffb4,GPT-5.1を1週間ぶっ叩くように使った正直レビュー,148,1,146,298,34,0,11.41,-1.46,0.07,58.0,10.0,4.0,5.0,2.5,0.2,0.024,0.499,🎆 バースト型,65.9
2026-04-17,n8b80b1c37c22,株価の法則はグラフが知っていた！,263,110,152,49,2,0,4.08,1.78,0.07,,,,,,,,0.751,❓ データ不足,65.4
2026-04-17,n6bb62fafa0bd,タイトルの「番号」はもう不要？note運営をゲーム化するダッシュボード刷新メモ,112,1,110,307,31,4,10.1,-0.6,0.07,43.0,13.0,12.0,1.0,3.6,0.3,0.049,0.452,📉 フェード型,65.3
2026-04-17,n74b4b334899b,【告白】褒められすぎて怖いから、手の内（AIとの喧嘩術）を全部さらけ出すｗ,91,2,90,282,41,12,14.54,-0.24,0.64,37.0,12.0,5.0,1.0,0.8,0.2,0.038,0.431,🎆 バースト型,65.2
2026-04-17,n683b6ce7ee4a,Python外れ値検出を5手法で可視化,593,440,152,69,3,4,4.35,2.21,0.29,,,,,,,,0.639,❓ データ不足,65.1
2026-04-17,nc466c22ba3b6,noteの週次・月次データを自動集計する方法｜振り返り運営｜Python｜,14,0,15,306,21,0,6.86,-0.59,8.07,290.0,193.0,0.0,2.0,2.3,,,0.301,🎆 バースト型,65.0
2026-04-17,n07416cbde595,プロンプト解説：Verbalized Samplingってなんやねん？！,154,1,152,166,17,3,10.24,-1.45,0.07,40.0,13.0,4.0,1.0,1.4,0.3,0.052,0.432,🎆 バースト型,64.9
2026-04-17,n661120ea1cb3,【AIアート/イラスト】Are You Still There ─ 記憶が光になる瞬間 ＃106,160,111,50,166,23,11,13.86,-0.14,0.14,,,,,,,,,❓ データ不足,64.8
2026-04-17,n8af759621330,【探すの面倒くさすぎ】Midjourney V7パラメータ、わかる分だけ全部ここに置いとく“自分用メモ”,151,0,150,489,60,5,12.27,-6.54,0.64,160.0,90.0,0.0,2.0,3.6,2.1,0.092,0.334,🎆 バースト型,64.6
2026-04-17,ncc237b121648,プロンプトは「TEXT / YAML / JSON」どれがええねん。,102,1,101,459,55,6,11.98,-1.15,0.93,99.0,28.0,4.0,2.0,3.8,1.1,0.078,0.351,🎆 バースト型,64.4
2026-04-17,n26143a47c054,【AIアート/イラスト】Silent Data Diver,151,0,150,114,19,2,16.67,-1.32,0.36,74.0,28.0,1.0,2.0,0.3,0.3,0.028,0.408,🎆 バースト型,64.2
2026-04-17,n4d46f4c63f16,【AIイラスト/アート】ドラゴンシスターズ『赤』,149,1,147,197,18,5,9.14,0.9,0.36,27.0,10.0,2.0,3.0,0.5,0.3,0.078,0.385,🎆 バースト型,64.1
2026-04-17,n9d10ce9a86d3,ヒストグラムって、データたちの“性格診断”やった話,167,14,152,184,8,0,4.35,0.02,0.07,,,,,,,,0.576,❓ データ不足,64.0
2026-04-17,nd9fa08da2f22,【プロンプト公開】アメコミホラーを制御する「YAML構造化」と「コンパイル」の技法,92,3,90,262,16,0,6.11,0.54,0.29,16.0,5.0,6.0,3.0,0.9,0.2,0.088,0.534,📉 フェード型,63.4
